source_task,arm,L,T,zeta,lam,N_c,R_index,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_unweighted_mean,gess_final,ess_cum_final,n_distinct_anc_final,brentq_fallbacks,result_path,exact_compatible
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,25,6.0,systematic,1296041,ok,2337.43,922,0.2592338987352326,0.2592338987352326,1.0,254.17296030813407,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00057.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,26,6.0,systematic,1296042,ok,2332.98,922,0.35775126935900836,0.35775126935900836,1.0,254.17497522599075,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00058.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,27,6.0,systematic,1296043,ok,2362.85,922,0.3530773970725527,0.3530773970725527,1.0,254.32308583033802,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00059.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,28,6.0,systematic,1296044,ok,2343.81,922,0.5527544599082894,0.5527544599082894,1.0,253.95101900955285,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00060.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,29,6.0,systematic,1296045,ok,2340.64,922,0.37848959216435224,0.37848959216435224,1.0,253.8721636733347,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00061.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,30,6.0,systematic,1296046,ok,2320.01,922,0.26336138160280154,0.26336138160280154,1.0,254.25064118835215,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00062.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,256,31,6.0,systematic,1296047,ok,2436.86,922,0.4655681008046657,0.4655681008046657,1.0,254.3437185023025,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00063.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,0,6.0,systematic,1552000,ok,4859.78,922,0.26267719951539215,0.26267719951539215,1.0,508.0459992187191,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00064.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,1,6.0,systematic,1552001,ok,4867.25,922,0.19563389160272174,0.19563389160272174,1.0,507.76495791196146,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00065.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,2,6.0,systematic,1552002,ok,4868.45,922,0.26285492589833986,0.26285492589833986,1.0,508.6382802354071,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00066.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,3,6.0,systematic,1552003,ok,4613.12,922,0.2117554931773294,0.2117554931773294,1.0,508.0159468439763,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00067.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,4,6.0,systematic,1552004,ok,4648.38,922,0.19094985461311761,0.19094985461311761,1.0,507.95125722368846,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00068.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,5,6.0,systematic,1552005,ok,5464.6,922,0.1914714020289312,0.1914714020289312,1.0,508.5752222662567,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00069.json,yes
