dataset,source_file,r_alpha_over_w,git_commit,L,lambda,zeta,real,alpha,w,T,N_c,dtau,theta_hat,S_mean,S_std,eff_sample_size,n_T_mean,n_distinct_ancestors,CMI_mean,CMI_std,B_L_mean,B_L_std,S_AB_mean,wall_s,status
refine,pps/refine/L128_z0.350_lam0.2923/real006.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,6,0.2923,0.7077,128.0,128,0.16162878716451923,-9.679311759528765,2.4749349505306584,0.22726167410700965,124.72403081184396,0.038008548731366804,1,0.1352490046357686,0.04694476925572633,0.2807064494402335,0.13475882511968765,2.002664404479908,3658.506694316864,ok
refine,pps/refine/L128_z0.350_lam0.2923/real007.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,7,0.2923,0.7077,128.0,128,0.16162878716451923,-9.610508319813317,2.9046185278655527,0.24110183062568039,125.4355197887976,0.03768596040348024,1,0.5183619045039317,0.19386664634024853,1.4971611432424723,0.6801478471920872,2.8438712166292683,3587.978132009506,ok
refine,pps/refine/L128_z0.350_lam0.2923/real008.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,8,0.2923,0.7077,128.0,128,0.16162878716451923,-9.515428079144721,2.468072072557559,0.3212805383457119,124.94422177573259,0.03773731527685568,1,0.6562302615446042,0.18411487037060606,1.860398003512227,0.5896929967149424,2.830875085984563,3497.312005519867,ok
refine,pps/refine/L128_z0.350_lam0.2923/real009.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,9,0.2923,0.7077,128.0,128,0.16162878716451923,-9.647354401039022,2.5681410974037195,0.2358770561962536,125.3131111599003,0.037826111769891105,1,0.45466082703738653,0.14952910354170473,1.1356105556556817,0.592032670262957,2.4034426287407156,3512.3271346092224,ok
refine,pps/refine/L128_z0.350_lam0.2923/real010.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,10,0.2923,0.7077,128.0,128,0.16162878716451923,-9.567763231756194,2.5224152346486464,0.22621993284238798,125.32845948764131,0.03802920983399852,1,0.4108980521537229,0.20027562749458772,1.0498658244777301,0.7610500876196941,2.3385284640738515,3559.999296426773,ok
refine,pps/refine/L128_z0.350_lam0.2923/real011.json,0.4130281192595733,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.2923,0.35,11,0.2923,0.7077,128.0,128,0.16162878716451923,-9.746916581947934,2.8723084039207927,0.249219101188158,125.80093476910395,0.038927435422408195,1,0.6259688065416674,0.1707446993969232,1.8528164432846772,0.6797007791929607,2.9116438551199,3517.0512166023254,ok
refine,pps/refine/L128_z0.350_lam0.3032/real000.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,0,0.3032,0.6968,128.0,128,0.15581825358901374,-9.708830117046995,2.339315413119612,0.30339517127912635,125.2484356134829,0.038351674096717574,1,0.26825999282898283,0.12235847687084092,0.5675258191581318,0.2926238424115845,2.076931449982279,3618.6689479351044,ok
refine,pps/refine/L128_z0.350_lam0.3032/real001.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,1,0.3032,0.6968,128.0,128,0.15581825358901374,-9.771464207241626,2.311560771186063,0.1544387774188976,125.2744547181904,0.038088505204347166,1,0.5789487755601985,0.16056058164768147,1.279994540405439,0.6125549228413318,2.1335721213394025,3634.3744761943817,ok
refine,pps/refine/L128_z0.350_lam0.3032/real002.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,2,0.3032,0.6968,128.0,128,0.15581825358901374,-9.730935985390433,2.4874149397195158,0.19913310197474343,125.66553035515176,0.03763947632314574,1,0.30029865483936047,0.17077362059779422,0.775253790802005,0.5475184517159953,2.446137433714239,3664.8068237304688,ok
refine,pps/refine/L128_z0.350_lam0.3032/real003.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,3,0.3032,0.6968,128.0,128,0.15581825358901374,-9.883107223830539,2.6257782627401687,0.42724592978610504,126.01476111924988,0.038322558493758124,1,0.5050085760662821,0.14076295836751548,1.5965204167077454,0.5946625186287309,3.1308879195106627,3626.395998239517,ok
refine,pps/refine/L128_z0.350_lam0.3032/real004.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,4,0.3032,0.6968,128.0,128,0.15581825358901374,-9.89789212546857,2.6422599589241837,0.3122061899513891,125.27912477465328,0.03955701622320524,1,0.3145550787645095,0.14626815936323437,0.708861962043095,0.41675048535243614,2.1802962207567274,3697.8091979026794,ok
