source_task,source_arm,source_file,L,T,zeta,lam,N_c,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_within_var,n_nonfinite,n_distinct_anc_final,gess_final,ess_cum_final,ess_frac_mean,brentq_fallbacks
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00052.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300052,ok,1854.49,395,0.40857472812270335,0.051965029700388146,0,1,1.0,1012.3070618056718,0.9888861220018483,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00053.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300053,ok,1864.62,395,0.41886301391567576,0.050498709294564494,0,1,1.0,1012.921859978466,0.9884787757937216,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00054.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300054,ok,1780.29,395,0.4072820258976883,0.04925397865588938,0,2,1.0157470551766894,1011.7528064868277,0.9885377482440402,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00055.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300055,ok,1780.99,395,0.4390712226452232,0.056702113740986416,0,2,1.1218244025394082,1013.0678607895089,0.9887106281009488,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00056.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300056,ok,1784.6,395,0.4331883699124318,0.05044812818029404,0,3,2.043617398625604,1012.5071521578787,0.9887757928296258,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00057.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300057,ok,1788.16,395,0.3890571060667265,0.03900593932003877,0,3,1.548820116511279,1012.9510827870537,0.9886851337638288,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00058.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300058,ok,1807.32,395,0.4412649839491459,0.045867359961926306,0,2,1.8735745962770654,1013.1052822517842,0.9888825592717716,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00059.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300059,ok,1779.01,395,0.45445397512881147,0.047769289538539254,0,3,1.2096450811332116,1012.6007612770363,0.9889792524819099,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00060.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300060,ok,1787.05,395,0.3671278478647648,0.048015009382411294,0,3,1.0217628980298994,1012.5200077196533,0.988784489539144,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00061.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300061,ok,1786.6,395,0.3749888312455819,0.05221003704448101,0,3,2.230035346209959,1012.3051982912278,0.9884773362758444,0
