L,zeta,lambda,nreal,CMI,CMI_se,B_L,B_L_se
80,0.5,0.3712,12,0.42232235380080957,0.03441172188522379,1.0005596235474024,0.09699275590244182
80,0.5,0.4243,12,0.19214433513132842,0.026971743543446752,0.37836598152728945,0.05577865961336201
80,0.5,0.495,12,0.005173149578220981,0.000626922369364768,0.008286316267199466,0.0010974866352430706
80,0.5,0.5657,12,0.0007269466670367788,0.00020153679489202895,0.0010061876458194905,0.0002848631121650777
80,0.6,0.2324,12,1.9267475282633801,0.04994043167327721,10.309452307116285,0.3602325011688548
80,0.6,0.2905,12,1.3406944337076876,0.03438124833193808,5.443823693629848,0.18410858147682996
80,0.6,0.3486,12,0.8550922037874376,0.031352130496734944,2.8036339241492025,0.10612377077852443
80,0.6,0.4067,12,0.4422871774369417,0.045705485495625614,1.0828265730918678,0.12662257196841598
80,0.6,0.4648,12,0.1279693132902543,0.015379748096408984,0.24402544140862223,0.027603118950669737
80,0.6,0.5422,12,0.011829597502666227,0.003117862157459284,0.02093572533591065,0.00637679505335466
80,0.6,0.6197,12,0.0003701347744614848,0.0001821856592248366,0.0004488026807394949,0.00022012839235161888
80,0.7,0.251,12,1.8892107903700521,0.02132333709506274,9.98698025198603,0.15127373041533232
80,0.7,0.3137,12,1.3120146425843886,0.03052180010502915,5.534440519086609,0.15553269942861891
80,0.7,0.3765,12,0.7782117148964914,0.031318812617423364,2.4747298015268187,0.1268761645998647
80,0.7,0.4392,12,0.41503730676088524,0.02805824124563583,1.000052026070293,0.07113571372811216
80,0.7,0.502,12,0.10723138710331903,0.015613432452104834,0.20850775564188515,0.03377239918974041
80,0.7,0.5857,12,0.0037698073647465524,0.0014142890829965536,0.0053593847105828955,0.0020276548056151235
80,0.7,0.6693,12,9.885992873016082e-05,6.796124982517239e-05,0.00011547888568769173,7.581042165202115e-05
80,0.8,0.2683,12,1.8248355577307682,0.013399482759695443,9.669805170993634,0.08442520027775191
80,0.8,0.3354,12,1.2414925686065286,0.012253745942192746,5.065084536862943,0.061022864030203836
80,0.8,0.4025,12,0.8476002293413639,0.023830683519166892,2.67771863036252,0.09870107702072965
80,0.8,0.4696,12,0.41344932358677244,0.020690892076150935,1.0009128312570872,0.05335391274737373
80,0.8,0.5367,12,0.11715346135663762,0.0131443690793511,0.20961135931540043,0.02211785544054613
80,0.8,0.6261,12,0.0023058175814625083,0.0006696376971272707,0.003302454995513683,0.0009067881645118855
80,0.8,0.7155,12,1.2628050344679296e-05,6.111538612523842e-06,1.4948963698939051e-05,6.907456250309358e-06
80,0.9,0.2846,12,1.7163752628719229,0.011281827760136037,8.760148944821603,0.0639112161522032
80,0.9,0.3558,12,1.1814608954235748,0.011474424669105556,4.6431199738396165,0.05759122875748941
80,0.9,0.4269,12,0.771934730700535,0.014699138295539805,2.3129932928828376,0.04909416725971348
80,0.9,0.4981,12,0.38347562499357374,0.012600138076627831,0.8803301909738798,0.03312140813708995
80,0.9,0.5692,12,0.07670727201368331,0.009021703180426718,0.131755823518682,0.014268016126365824
80,0.9,0.6641,12,0.001189228471779581,0.00023090197367895394,0.0016486788608532487,0.0003192667686634207
80,0.9,0.7589,12,1.6213664910224412e-05,1.3450911659992613e-05,1.7100073696099227e-05,1.415165681888332e-05
80,1.0,0.3,12,1.5514705013864383,0.009953777662591527,7.356282152181396,0.05645168682718154
80,1.0,0.375,12,1.064424464851666,0.005925961334626592,3.875617578304834,0.029111119589661102
80,1.0,0.45,12,0.6308947065304298,0.011375718269451001,1.701844502687689,0.03791719557581488
80,1.0,0.525,12,0.22815833665875773,0.006725955664967343,0.4628838583638946,0.014921024541078423
80,1.0,0.6,12,0.03433922836899938,0.001759405251297689,0.05306973910253577,0.003305355424450751
80,1.0,0.7,12,0.0009508660997007939,0.0002914606557885623,0.0011606457951803164,0.0003745329875350345
80,1.0,0.8,12,4.685562738672433e-08,1.9698864885963898e-08,4.812368083705789e-08,2.0285571639540758e-08
96,0.05,0.0671,12,1.1053260475053133,0.012983094855668887,3.1368412215548047,0.06383183053673074
96,0.05,0.0839,12,0.8040563241951567,0.013649390933805596,2.1746555914864207,0.0525060773062024
96,0.05,0.1006,12,0.564373343109054,0.012886210160475507,1.4136127126175158,0.045086484593845705
96,0.05,0.1174,12,0.8187086781617308,0.008044874888526617,2.077871979723522,0.02608634315840504
96,0.05,0.1342,12,0.5599024938787708,0.0067930542201912626,1.2452679666325641,0.023353196696427124
96,0.05,0.1565,12,0.45853403607188464,0.008743540602470337,0.9458697033368614,0.026084875033457463
96,0.05,0.1789,12,0.3439896417087493,0.007634837938321362,0.6729928005439878,0.018684688145693122
96,0.1,0.0949,12,0.7777124265726294,0.03807753444954906,2.3457868393151755,0.1444850423811754
96,0.1,0.1186,12,0.9072205936950662,0.018407386486160145,2.6470804994966035,0.07184041001961208
96,0.1,0.1423,12,0.705289297658844,0.01828617195525384,1.7941407535833107,0.06206023086190081
96,0.1,0.166,12,0.5239592535456224,0.013761313252772389,1.2127796627046443,0.043628807326208704
96,0.1,0.1897,12,0.3601502522097381,0.010985358125341087,0.7602177481531003,0.027816195680813158
96,0.1,0.2214,12,0.263037333026702,0.010671223964308056,0.5064820422153544,0.0220596058458717
96,0.1,0.253,12,0.23911048725861309,0.008371924611377453,0.42626518878886194,0.015261578539681997
96,0.15,0.1162,12,1.1639539210782408,0.03819797693762484,4.054599946743296,0.22231059863517916
96,0.15,0.1452,12,0.925925562427773,0.05239742881181922,2.7823546294485215,0.21674613209913846
96,0.15,0.1743,12,0.5917198452784496,0.026984838322682933,1.5121377757500707,0.08308739843719824
96,0.15,0.2033,12,0.3678892360233703,0.016009660067250974,0.8080076745834326,0.03722426911441817
96,0.15,0.2324,12,0.2610581068369842,0.013978936421151613,0.5268753323074931,0.0288452679489307
96,0.15,0.2711,12,0.197496750923001,0.010423667133560474,0.3660064954628965,0.020359347794158485
96,0.15,0.3098,12,0.09507497816255049,0.0034523925370196435,0.16075030174800223,0.0069713085903382824
96,0.2,0.1342,12,1.2476789981510683,0.05920789458703496,4.830354438616157,0.33701913453620996
96,0.2,0.1677,12,0.8785133599916058,0.02432119879354482,2.8094690636831547,0.10931331444188586
96,0.2,0.2012,12,0.53146444712092,0.03179058363970656,1.338520358864737,0.09912014219291168
96,0.2,0.2348,12,0.37275462018119465,0.017275965177827403,0.8091592448690091,0.049419510528377626
96,0.2,0.2683,12,0.2528830633163052,0.014966613431805453,0.5001472466515835,0.031570326036442733
96,0.2,0.313,12,0.09235643995546135,0.005150658277777775,0.16176033517901126,0.008774441388645927
96,0.2,0.3578,12,0.042631631245655784,0.00782512945632059,0.06833983530766524,0.012331585727390612
96,0.25,0.15,12,1.3466911209257486,0.07161835080601638,5.435621296173623,0.41819854179848676
96,0.25,0.1875,12,0.8312734649518339,0.04979057559017876,2.7233197332429158,0.24441475366204626
96,0.25,0.225,12,0.5328559081575469,0.04337426002610697,1.3377598986428436,0.12826171913234452
96,0.25,0.2625,12,0.37432125002813527,0.03220464048487619,0.8465007236205939,0.08745257599902072
96,0.25,0.3,12,0.15393212913559798,0.008586505815400016,0.29089758125099346,0.016970733464888973
96,0.25,0.35,12,0.04834957120081831,0.004254945261729653,0.08282617571505119,0.007281954922377039
96,0.25,0.4,12,0.016336274627074664,0.0033367059976960834,0.02560961449915138,0.005403374278786543
